cluster_id,R_eta,n_pairs,tokens_en
globalvoices-v2018q4-doc-27e4affdaf681caa,1.0133326848453927,16,489.0
globalvoices-v2018q4-doc-2817406b6593441f,1.0506579493673194,27,630.0
globalvoices-v2018q4-doc-293e6a09962d864b,0.9097055344008323,38,918.0
globalvoices-v2018q4-doc-2aa75de71dae82d2,0.9752900751346185,19,770.0
globalvoices-v2018q4-doc-2acde2b0edf91595,0.9381716619925405,50,1005.0
globalvoices-v2018q4-doc-2b9b4da11dff0990,0.7811588191850418,3,110.0
globalvoices-v2018q4-doc-2cf7c4b46f676d55,0.9285804119689391,26,763.0
globalvoices-v2018q4-doc-2d8f17962f91ad45,1.0481759608110004,22,900.0
globalvoices-v2018q4-doc-2eda928137ee6ca7,0.9531221569554652,31,792.0
globalvoices-v2018q4-doc-308f492bfd72feaa,0.765145552615295,3,63.0
globalvoices-v2018q4-doc-30fc48f3a4023ddf,0.9834658162698204,31,891.0
globalvoices-v2018q4-doc-3119d6a9c521d715,0.9036123933239807,6,117.0
globalvoices-v2018q4-doc-3132347b719ac4ca,0.8862153307272469,8,238.0
globalvoices-v2018q4-doc-3379b905d976d633,0.9091236913941166,16,455.0
globalvoices-v2018q4-doc-33b60bf320f8d9d1,0.9744353380913267,31,914.0
globalvoices-v2018q4-doc-3520467bd22aa59c,0.8597618771958865,41,690.0
globalvoices-v2018q4-doc-35a2e067582db7da,0.9182124651145316,50,907.0
globalvoices-v2018q4-doc-35ff38cfcdaefe57,1.0646128975542604,71,1692.0
globalvoices-v2018q4-doc-3618e57e74ed3381,0.8796077039790476,32,580.0
globalvoices-v2018q4-doc-369c63ef10defac7,0.9763635878397345,11,342.0
globalvoices-v2018q4-doc-370b3483d8cecd0d,0.9761726925272434,24,789.0
globalvoices-v2018q4-doc-38a288c8d20a311e,0.952750436537621,63,1605.0
globalvoices-v2018q4-doc-39d67bf7476504bf,0.8657294639379166,25,675.0
globalvoices-v2018q4-doc-39f419cf9c4a7536,1.0133986305425107,31,883.0
globalvoices-v2018q4-doc-3b545eb87e1b4d9e,0.7808113419157608,7,139.0
