point_R_T,point_R_B,point_R_eta,point_C_K,R_T_lower95,R_B_ci90_low,R_B_ci90_high,R_eta_upper95,C_K_upper95,R_T_se,R_B_se,R_eta_se,C_K_se
1.3615863787375415,1.2895559834565649,0.9470981816462037,0.8877255358177675,1.3440532042877302,1.274033354571568,1.3055643160626378,0.953725909235371,0.8955162866940382,0.01078021840859945,0.009650801114232357,0.004074727019266097,0.004825047296679219
1.370751300855065,1.2889180264346605,0.9403004218421259,0.8886407529913202,1.351972570766153,1.2729980711485476,1.304447848559858,0.9477886694865566,0.8976651568300722,0.011405786804588435,0.009654874752948753,0.0044949893868396545,0.0054191646625879495
1.371193047240717,1.2868596590393284,0.9384963420204802,0.8823073365795272,1.3558816088734307,1.2739543739220298,1.300784076150894,0.9444679607910761,0.8886026176802904,0.009452275873884803,0.008268075625739708,0.0035087898356822122,0.003741241316622405
1.37576799897904,1.290169833609848,0.9377815406138865,0.886317054208778,1.3594402365380254,1.2760888540215758,1.3038322251456642,0.9448244874070709,0.8938463297235364,0.009635677300809485,0.008493627297770227,0.004199599820780136,0.00453984661005154
1.3761016588951533,1.2875397193363642,0.9356428800253799,0.8785957294112837,1.3573491920309642,1.2718569232292056,1.3027359133513856,0.942044454093166,0.886070195989127,0.010947370455706887,0.009508236098561879,0.003837819646768801,0.004601872331720365
1.380078031417913,1.2893259989187638,0.9342413758982097,0.8830776988348688,1.364332860794428,1.2756419202688238,1.30324241792664,0.9403874597190816,0.8902180383738494,0.009897597276812836,0.008402637302565382,0.003701552061538843,0.004272008830918562
1.355583479149296,1.2881750371765148,0.9502734851747502,0.8920706563171391,1.3391235086979802,1.2733993022704757,1.3027726691632395,0.9576222554466393,0.8995650851627245,0.01007402679390393,0.009074314342917089,0.00433624971241419,0.0044957279660443146
1.3733756456880777,1.2775928790248552,0.9302574157595214,0.8810844999156687,1.356261872479638,1.264723725648787,1.2911357094840479,0.9364305333995799,0.888097400368489,0.010628823619012271,0.008047203888419101,0.0037782548100577665,0.004319960037152297
1.3623091162885437,1.2785550449856782,0.9385205088173791,0.88380724544631,1.3454417344365086,1.2643998561283631,1.2927066529217472,0.9444145219613767,0.8905568219922122,0.010321766795412657,0.008513236074914988,0.003667288316625488,0.003953463344758019
1.384586972981957,1.2935943139405919,0.9342817310743606,0.8881256613403757,1.367883547976632,1.2793660041028883,1.3082511100572964,0.9406502977301576,0.895253597217996,0.010127706608775756,0.008755727466106226,0.0038923576753931116,0.004236330147065637
1.370035417280506,1.2818489301680542,0.9356319654221055,0.8869123643242437,1.3539116019182886,1.2678100907041532,1.2958116979479322,0.9420391592192423,0.8937347444423173,0.009770126291877113,0.008434208230878246,0.003785016767477641,0.003928562623950113
