R_T,R_B,R_eta,one_minus_R_eta,C_K,R_T_koreanfit,G
1.369573884874159,1.2755526576143141,0.9313500145569117,0.06864998544308831,0.8865195320318043,0.5237900711659608,0.38244747286057396
1.390454533840926,1.3027842224534931,0.9369484515647869,0.0630515484352131,0.8655666011282409,0.511704958991907,0.36801272284567077
1.368804345178654,1.2934378149431307,0.9449398809252855,0.05506011907471453,0.8692859303546326,0.5111857525531559,0.37345421524537664
1.3624843439180727,1.268627236174997,0.9311132578058311,0.0688867421941689,0.8681302835307053,0.5027715433999687,0.36901087755192635
1.3476740336064896,1.293487222548246,0.9597923461408283,0.04020765385917169,0.8786333973128598,0.5179449116105614,0.3843250657761039
1.3611380798274002,1.291794232150269,0.9490545090870395,0.05094549091296052,0.8769194190723386,0.5163747943671174,0.3793698832028831
1.3737471177826925,1.2794252930002288,0.9313397469144796,0.06866025308552037,0.8786544950074503,0.5217913119539458,0.37983068732194847
1.3615693739424704,1.2839658640038902,0.9430043658268572,0.056995634173142795,0.8718446601941747,0.5100302155985188,0.374589958733949
1.3982872915143079,1.3069233596945602,0.9346601142882426,0.06533988571175742,0.8673910109326495,0.5163610067693791,0.3692810554046972
1.3712198515769944,1.2885852613770636,0.9397364397073923,0.06026356029260771,0.8680805723273631,0.5177903094010714,0.37761290343454257
1.3462783171521036,1.2606694367946172,0.9364107114652325,0.06358928853476753,0.8753943810096154,0.509159029590711,0.37819745226810025
1.4072672218016653,1.3074889234037148,0.9290978309931723,0.07090216900682766,0.8684983655397857,0.5237037776336144,0.3721423831382489
1.3852284942712567,1.31149609205097,0.9467723898799266,0.053227610120073376,0.867074232501798,0.5114947020533033,0.36924933624209866
1.399060540058257,1.3055834029136701,0.933185781123743,0.06681421887625705,0.8801065386202498,0.5267400089806915,0.3764955081634695
1.3654483406696671,1.2755615461296226,0.934170490480833,0.065829509519167,0.8701825557809331,0.5093607547969893,0.3730355368458536
1.3613944082996308,1.2771793031157033,0.9381405530458206,0.06185944695417944,0.8690787561755303,0.5139542655272832,0.3775204763542458
1.3904827270647449,1.2994332854582817,0.9345195450225657,0.06548045497743427,0.870249103293955,0.5179904025071002,0.3725255930367131
1.3732685419432407,1.2934443033653402,0.9418728120976649,0.058127187902335065,0.875750113999088,0.5218577453154211,0.38001143212453364
1.3879706978537463,1.306837312752778,0.941545318480839,0.058454681519161,0.8630345006389007,0.511351042935361,0.36841631003167136
1.3601052443810204,1.2702502796837913,0.9339352854726166,0.06606471452738338,0.8694547362208597,0.5075702473011255,0.3731845380333925
1.4042878616070251,1.3252063931066658,0.9436857138323044,0.056314286167695626,0.8651130473972809,0.5208597141823444,0.37090665555300617
1.3596043680630148,1.3002930870172795,0.9563760734821453,0.04362392651785474,0.8758352809506567,0.5146770090818528,0.37854909940830567
1.3990113717856778,1.3237769190004154,0.9462231299169254,0.053776870083074635,0.8681873935887813,0.5235077880932143,0.3741983794063207
