R_T,R_B,R_eta,one_minus_R_eta,C_K,R_T_koreanfit,G
1.397068648990279,1.316736532253481,0.9424995208396828,0.0575004791603172,0.8658348484717926,0.5121930083903394,0.3666197854776307
1.4015808515254395,1.3200421849091708,0.9418237866709406,0.05817621332905942,0.8674375698142888,0.5122300700872817,0.3654659447792723
1.394224311618536,1.3255606264855058,0.9507513356632553,0.049248664336744685,0.8688262684649968,0.5133348670308012,0.36818671339540604
1.3864615846165385,1.3150463734229636,0.9484910278178919,0.05150897218210815,0.8675690970979635,0.5107683488205161,0.36839704358760306
1.3884584332485812,1.3071464683466845,0.9414372350264381,0.05856276497356194,0.8630233284732347,0.5088565426861562,0.36649029636096686
1.4061340206185566,1.3244586412430999,0.9419149397014605,0.05808506029853955,0.8716839571343036,0.5189846711239479,0.3690862062320682
1.389678554046281,1.3077207714076324,0.9410239278716543,0.05897607212834566,0.866201022824508,0.5089634400153406,0.3662454446989979
1.3816135023473162,1.3051794122688383,0.9446776613368219,0.05532233866317815,0.8671748545002057,0.5084109400813865,0.3679834767231306
1.3895766221813162,1.3026922646535548,0.9374742233419465,0.06252577665805348,0.8654890629398421,0.5086613368627471,0.36605490387731593
1.3931608613961555,1.3092619277415152,0.9397779998136317,0.06022200018636825,0.8653965856371015,0.5084851144758978,0.3649866491126658
1.3915515976252417,1.3133755505554694,0.9438209497921716,0.05617905020782843,0.8640868616900159,0.508235393630669,0.36522928398630733
1.3812025154369292,1.3061514820898543,0.9456625422352831,0.05433745776471688,0.8642345631195972,0.5069609606125646,0.36704317791673924
1.3988650664973525,1.310757817639159,0.9370151911228957,0.06298480887710434,0.8656613591509056,0.5120173350687578,0.3660233909127552
1.3986074202488623,1.318549196077707,0.942758616169139,0.05724138383086097,0.8638081685741895,0.5135604888951377,0.3671941686136321
1.365728345032202,1.299395045471284,0.9514300923736382,0.04856990762636182,0.8735539306593193,0.5089944067962314,0.3726908126697993
1.389330781651815,1.319333359201945,0.9496178855501581,0.050382114449841864,0.8698721535878783,0.5067087252293705,0.36471424366408267
1.3785808139568536,1.31127354879841,0.9511764094806631,0.048823590519336935,0.8663363634455105,0.5085313465060051,0.36888033066875464
1.3849440534975883,1.3152700471188183,0.9496918260323854,0.050308173967614556,0.8700281179213444,0.5109673496686326,0.3689443977019988
1.3847370339451375,1.303064117019885,0.9410191863703066,0.05898081362969343,0.8616206944863103,0.5050568648433417,0.3647312467728452
1.392172968054994,1.315754909422413,0.945108790081347,0.05489120991865304,0.8691624837752222,0.5123929131372371,0.3680526234129526
1.3853389133227179,1.316661144440697,0.9504252943293868,0.04957470567061317,0.8621317324331831,0.509288754044899,0.36762755246900297
1.4027539138503906,1.3263708909900216,0.9455478098430631,0.05445219015693692,0.8676491299950065,0.5146198534344189,0.36686395835592384
1.3861484414208443,1.309425851740394,0.9446505241517948,0.055349475848205154,0.8646702443498621,0.5080892225647232,0.3665474832146522
1.3915800978108475,1.31186425116541,0.9427155887247584,0.05728441127524164,0.8644464453585184,0.5081586875215685,0.3651666823354071
1.3960865810212675,1.3162892962502128,0.9428421661981156,0.05715783380188444,0.8620548331844772,0.509721844372761,0.3651076167495919
1.3798873926166706,1.319099058048765,0.9559468874828742,0.04405311251712585,0.8723704080731259,0.5111063463780224,0.37039714190649653
1.3743266427517367,1.3043166620716673,0.9490587037300737,0.05094129626992627,0.8671339964993912,0.5030894992478842,0.3660625382627935
1.385355674775797,1.3103502325439587,0.9458583498826199,0.05414165011738015,0.8588707354212107,0.5034763770409542,0.3634275198839718
1.404807970804611,1.325724657465452,0.9437052501247813,0.05629474987521865,0.8701301378900838,0.5187114377719328,0.3692401015313418
1.3804860462642286,1.3078028039978895,0.9473495277529033,0.052650472247096736,0.8639529756272984,0.5074290225976057,0.3675727284392141
1.394422158548233,1.318532246143465,0.9455760854490588,0.0544239145509412,0.8683095035871824,0.5133184630549167,0.3681227094019684
1.38117639152568,1.3096023275573943,0.9481789115369809,0.05182108846301914,0.8662717382930498,0.5047666075221438,0.36546136367460397
1.4026761724880956,1.31743843511522,0.9392320629346121,0.060767937065387856,0.8674063116370808,0.5126111263040389,0.36545222365527097
1.3898514998868683,1.3038347827229595,0.9381108577636457,0.06188914223635433,0.8675434838488562,0.5108114380272026,0.36752950805807805
1.3991282616162692,1.3202386257326864,0.9436151509137198,0.056384849086280164,0.8620425474277684,0.5080196162557497,0.36309724432904156
1.3865619896278043,1.3256362174282514,0.9560598280817526,0.043940171918247395,0.8645820418082178,0.5104096774744485,0.3681116901318333
1.3936585285547305,1.314631743383588,0.9432954460852789,0.05670455391472107,0.8635678144626228,0.512396616980515,0.3676629579498839
1.3855509349360244,1.3104093541639341,0.945767723959163,0.054232276040837024,0.8662744528788435,0.508564467860061,0.367048554504092
1.389197989158631,1.3153909527411023,0.9468707578088059,0.05312924219119408,0.8660090317484846,0.5125428723863723,0.36894875776259534
1.3945913530184477,1.3070962057501647,0.9372610857804985,0.06273891421950151,0.8636410174503131,0.5065905318308154,0.3632537450733169
1.3867318046787969,1.3123691377296276,0.9463755957004292,0.05362440429957083,0.861279633147285,0.5059653728173666,0.36486173542010986
1.3987701069340523,1.3137027273030355,0.9391841595632359,0.060815840436764135,0.8645494945294836,0.5111538491086908,0.36543092147506845
1.3869368374558304,1.3035841481620654,0.9399015967831199,0.06009840321688009,0.8702040588848815,0.5117893440531182,0.36900695852302434
1.3815412977934822,1.296820720930219,0.9386767684769365,0.061323231523063515,0.8710100406351501,0.5115266560724471,0.3702579552919828
1.3926536016949151,1.308913428139977,0.9398700628404486,0.060129937159551394,0.8698984151856176,0.5126076033339384,0.3680797598987102
1.3845970378471455,1.3157388268655812,0.9502684108810249,0.04973158911897513,0.8683612377371174,0.5108998460005884,0.3689881113677421
1.3919601057174074,1.3106759388505884,0.9416045283676248,0.05839547163237524,0.8642309328258401,0.5072188880081531,0.3643918284186282
1.3968924404627865,1.311238308731502,0.9386823714910308,0.06131762850896916,0.8585320797134915,0.5065669224540161,0.36263845932632577
1.3843501898767405,1.3149142814308994,0.9498422372073185,0.05015776279268147,0.8659545330046563,0.5108481654568957,0.369016574846846
1.3880357795245897,1.3191176280649044,0.9503484330329798,0.04965156696702022,0.8700702162524728,0.5087791158078698,0.3665461102033909
1.395884306434674,1.312226600728727,0.940068309873314,0.05993169012668598,0.8652619849364762,0.5125511320109274,0.36718740202765815
1.3872346441621715,1.3111861696078804,0.9451798043868628,0.054820195613137224,0.869742628901136,0.508448670944088,0.366519588509245
1.4014757644337434,1.3253621971247525,0.9456904148893762,0.05430958511062378,0.8656919536581495,0.5137957099898507,0.3666104851962576
1.4057104267963263,1.3243610179230632,0.9421293266930787,0.057870673306921305,0.8598715588573274,0.5102163680811471,0.3629597948163135
1.3929179375453886,1.3220193961033084,0.9491007046926123,0.05089929530738768,0.8734922170873721,0.5158797606643069,0.37035904754977483
1.3954341960923835,1.3199703937932474,0.9459209165788997,0.05407908342110035,0.8692958488609758,0.5116268600725272,0.36664348738566777
1.3874223202268106,1.3078640170838038,0.9426574720738233,0.05734252792617667,0.8721706428002328,0.5118420032560663,0.36891579138815667
1.3934021209831744,1.321931847848626,0.9487080778346171,0.05129192216538292,0.873188821650631,0.5145159898601456,0.36925161955194014
1.3997904608144547,1.3274678105154514,0.9483332310630813,0.05166676893691868,0.864118609406953,0.5112546339763631,0.3652365466749177
1.380766735374669,1.3028466525612425,0.9435675260584235,0.056432473941576466,0.8649889389730709,0.5043362306190978,0.3652580973297035
1.3795618418358595,1.2974406753673817,0.9404730081841097,0.05952699181589027,0.8723997400742874,0.5107160888095713,0.37020166354408085
1.4061354000702115,1.3265290503274676,0.9433864265569525,0.056613573443047516,0.8696577339227894,0.5167355136134377,0.36748631290246725
1.3830680547190914,1.3034686557106592,0.9424472290160737,0.057552770983926305,0.8670390783433072,0.5050256172414542,0.3651487831840839
1.394996090695856,1.307054550152791,0.9369592924814594,0.06304070751854063,0.8639939082134753,0.5111480553217957,0.3664154034057711
1.3886430933370202,1.31527336352419,0.9471644440786315,0.05283555592136846,0.8622313305593469,0.5067958040116458,0.364957566449832
1.389977790453536,1.3107995865994784,0.9430363532440166,0.05696364675598342,0.8691565528682441,0.5102164246998373,0.3670680410896053
1.385321157715524,1.3143682688643037,0.9487823538563247,0.0512176461436753,0.8601517670402746,0.5049942933606203,0.3645322895330535
1.3953661596361926,1.3104573006532012,0.939149406486159,0.060850593513841034,0.8675461868505444,0.5123336959845269,0.36716792395058895
1.3929345597281622,1.3045041836670637,0.9365150534578193,0.06348494654218073,0.8703566621803499,0.5143656804527817,0.3692676564455136
1.396352052190646,1.3123641987761931,0.939851949740977,0.060148050259023034,0.8696950981257169,0.5140394400613876,0.3681302571618271
1.3973948798334221,1.319593454286045,0.9443239511821802,0.055676048817819845,0.8691495684639661,0.5126906059887809,0.36689028519261263
1.3899569287906532,1.3171257028562606,0.9476018109440555,0.05239818905594451,0.8680788528337737,0.5115545690135916,0.368036273943161
1.3848173752329205,1.309913740649339,0.9459108212221969,0.05408917877780306,0.8709970317320245,0.510272443532003,0.36847634399891704
1.379473116345981,1.3088217602461008,0.9487838108168246,0.05121618918317539,0.8673170930422031,0.507976007558478,0.3682391498168742
1.3835987197094637,1.312940428936344,0.9489315147762228,0.05106848522377716,0.8639701301613935,0.5051676323598693,0.36511137598186516
1.3909055813572606,1.308075453805383,0.9404487776438059,0.059551222356194145,0.8619633965818867,0.5076393068279478,0.3649703571773635
1.3824193594963758,1.3067096668253013,0.9452339175149745,0.05476608248502546,0.8716321508696142,0.5114945487620407,0.36999955566911436
1.3928824362606231,1.326680274035579,0.952471105599714,0.04752889440028596,0.8663424595185277,0.5105539271241364,0.3665448811995834
1.3859622028508018,1.3066034217749805,0.9427410207056243,0.057258979294375734,0.8682528218567508,0.5070044414882721,0.3658140463321501
1.385432181809446,1.3098767639560989,0.9454643692810226,0.05453563071897738,0.8669932373851222,0.5124553518809862,0.3698884424726536
1.3907365607521875,1.3146282369457774,0.9452748090801276,0.05472519091987238,0.8621794629277926,0.504785531547296,0.36296272478396624
1.3914163930148098,1.3066780271798852,0.9390992040482431,0.0609007959517569,0.8687159569563077,0.5091757301765065,0.36594058596166545
1.3879168897562997,1.3085033555698269,0.9427822121248076,0.05721778787519238,0.8655159969636257,0.5078011491819198,0.3658728796585818
1.3847518929150893,1.3115894737369076,0.9471656839376729,0.052834316062327136,0.8657358247999382,0.5075114179754111,0.36649989111553494
1.4035411352986535,1.32470434505266,0.9438300821662643,0.056169917833735705,0.8670881528845463,0.5138420003406029,0.36610398328743293
1.3847842252980544,1.3117979911615156,0.9472941467680067,0.05270585323199328,0.8707201940149842,0.5148481892046226,0.3717894671235218
1.381886372231794,1.3150680765480758,0.9516470405770018,0.04835295942299822,0.8668379720083017,0.5088392994606945,0.36822079563524573
1.3952455681487939,1.319020106201976,0.9453677089632662,0.05463229103673384,0.8679286154666489,0.5107808022044564,0.3660866688020793
1.3816012948967844,1.3062754440924078,0.9454793136901308,0.05452068630986917,0.8681753866335551,0.5073196718742844,0.36719687057921063
1.4037206821818016,1.3178627239083816,0.9388354397258213,0.061164560274178714,0.8608866811900556,0.5093537841993625,0.362859784474839
1.3936990820185595,1.3084528122197785,0.9388345225317112,0.06116547746828882,0.872303376606817,0.5125134616285059,0.3677360975844288
1.3711606137182009,1.2937675455832505,0.9435565262299344,0.056443473770065644,0.8613942718996199,0.5017640160558932,0.3659410947454585
1.399235929477865,1.3167217979809758,0.9410291504394974,0.05897084956050258,0.86663868564184,0.5125194797218974,0.3662852482019582
1.3889258028792912,1.31830248592077,0.9491525632167559,0.050847436783244104,0.8632574038410428,0.5059661181049337,0.36428592301766477
